Feature1,Feature2,Feature3,Feature4,Feature5,Feature6
-2.528658764,0.27101553440491016,-3.308443127,0.7213836898860548,-4.66116042,-0.084245948
-3.841399455,1.5780724600201725,4.148094570808691,0.44146338438861393,-5.836243322,1.4250279090500502
-1.424180887,0.21343635368675642,-0.356290336,0.5208408061768767,-2.504225577,0.46686998128569535
4.194850418383694,-0.916368301,4.554307910458757,0.34432521670263966,5.937972833629757,-1.168430341
3.9653722654670025,-0.15171769,-4.603184359,-2.681279765,-4.772523506,0.7262922974496946
3.560229572534857,1.128804514253894,3.2524063201613203,-2.448347966,2.903758472,1.0594002175185957
4.498280762719062,0.4525276774068968,3.8674802039741527,0.7837233615461471,3.532102681702246,-1.330138994
3.2386228335151164,-1.64197736,-4.664307888,0.3673147420658513,4.427865586778031,0.2613166887930956
2.4651070819019414,0.24589403548251496,-5.202542031,-0.328732557,3.1205280913021305,-0.475065119
4.2169578325952095,0.8767683944828611,-5.051929123,-1.394756336,-4.931399811,-0.280913412
3.7264738258258623,2.0110107814465397,-4.257320257,-0.821283432,4.458027027749703,-0.634352699
5.480509013846985,-1.344012714,-2.745615836,0.9631781664942659,3.6770374615795727,-0.564750259
3.9896858781001825,-0.855488734,-3.74845474,-0.122114012,-3.680036559,-1.289681983
3.5105820183332335,0.9373212961192442,-4.466578551,-0.616149382,4.571025213,0.33694604778304393
3.7712859820602564,-0.308783235,-4.504735988,0.061391190643626414,-4.966131902,1.0081164819286577
2.408942698090055,-0.355175431,-5.354050844,0.19859730570553996,3.921198338960088,0.4797096601098837
-3.705855484,-0.558309573,-3.640078162,-0.276658243,-4.675352337,-0.13877342
-5.420537386,0.32639700762376556,-4.134686039,0.19268502741059138,-2.100721402,-1.196133515
3.3226478452108745,0.936887063,-4.400418234,1.0554528025662673,2.378522401997391,0.2559772618878723
-4.249010428,-0.495622905,4.481230424675415,0.081057437,-5.005699528,-0.843118572
3.520425075920114,-1.395229978,-4.313395422,0.14649743850010127,3.413853919731159,0.6441115110052277
3.230301093,0.5789015772799447,-4.607070858,0.12718132033785418,3.6556442088588077,0.7737494338479762
-3.498999826,-1.045912477,3.3882544944724327,1.3051022781915045,-6.513118118,-0.759849724
-3.788944607,0.5557586142167033,-4.570124519,1.0692653332847184,-5.182563759,-1.22055869
4.603079081240189,0.024257854750927933,-3.626463272,0.11232923537821381,4.9925564850716375,0.7607013247316992
4.575663119709538,-0.240801389,-3.442669268,0.8200822214790596,2.991120093207288,-1.251630692
4.401939492648453,-0.79407951,-3.759902498,0.6983864509156587,4.996930506537194,0.7827074039572125
2.891930967684808,-0.296293323,-4.89003957,-0.122056788,3.777834814885304,-0.013601238
4.807110361198797,-0.094985205,-3.444126851,-0.146661038,4.821759457181281,1.035696393632631
-4.432596003,-0.305977243,-4.065318225,-1.409375176,-2.568231554,-0.812852799
-3.64148405,1.3956778926212006,3.445322068653744,-1.46085983,-3.391185514,-0.312834932
5.052619459782761,0.054019066,4.5953797873954425,0.8607072281062338,5.350203723000892,-0.699580307
-3.435770076,-1.26799914,-2.733101402,1.9192636120717508,-3.100274973,-1.615906453
-5.153471881,-1.086788908,5.305283047148387,0.4012806861696939,-2.756876837,0.022046502751175392
2.3256200478425075,0.2076501469482441,3.8758296070736487,-0.20099173,4.005652445971461,0.7409395635345878
4.166148483699991,-1.780298439,-4.476304364,0.14757820793593027,-4.307527221,0.8249894795686747
-2.886275226,1.2369203597366287,-3.230031133,0.10267815216794111,-5.032622134,0.18744128096438237
4.817964867507144,1.3589403405832614,-5.956418138,-1.387069011,-5.036608702,1.102115024555946
2.8639457594986593,-1.378434994,-4.970057298,0.6567486594611381,4.118525692926191,-1.077564203
3.9810198244017263,0.2729529183098451,-4.140920233,0.36343533214013624,-4.200809368,-0.170517707
4.1282677292396155,0.4099563887703868,-3.965841929,-1.864437995,4.428218909064293,0.4965065036534657
4.237223821858032,1.5325914907412153,-5.274132984,0.42612853796279987,-5.125995049,1.5031349826787868
4.040053702184968,1.1800834303276326,-3.727631621,0.5903365855887562,-3.553289256,0.7243392362327028
-4.609865785,-1.091829562,-4.400577869,-1.449938374,-3.658532134,-0.705084529
4.063651466816215,-0.385413414,-4.501297088,0.8394007578182683,-4.493445545,-0.756634312
-2.569178513,-1.009387231,2.308553528447285,-0.416746584,-4.545660275,1.141709657240401
3.453483774246232,-0.535679815,-1.940962822,0.7937371597181484,-2.4659989,1.0969677861250293
3.8046816134339276,-1.159669171,-4.262990348,-0.175207552,-4.587667397,-0.250857441
3.481083776772211,-1.714918659,3.9050874868493484,1.7355054249550776,4.760097603792303,1.2572947422731242
4.770690497,2.245068522,-5.548254212,-0.187645495,-4.510703496,0.011829675875510651
4.494883572365833,-1.755187577,-3.515338136,0.36574829463105163,3.4647911294593676,-0.795910581
3.701438289533371,0.6322096174453379,-2.952657581,-2.117515698,-3.214082236,2.2594095056517203
-3.35246742,-1.084303571,-3.232575217,-0.961840674,-4.31365998,-1.051647418
-4.183182993,-1.84766557,4.194594320443309,0.591409774,-4.836912947,-1.248429339
