,x0,x1,y
1,-0.101200091,2.405788251,0
2,2.126993881,2.889896199,0
3,3.125338292,1.539848383,0
4,2.655762898,3.275021398,0
5,2.633816208,1.01218804,0
6,1.726508978,2.343249095,0
7,2.844220919,2.317291955,0
8,1.858048658,2.240300164,0
9,0.85708632,2.989611891,0
10,1.842441447,2.267550857,0
11,1.960829418,1.864754128,0
12,1.941609797,3.645336236,0
13,3.155693216,2.792942559,0
14,2.492061602,3.385356847,0
15,2.577308573,2.751402296,0
16,2.006818497,3.414188751,0
17,4.507030146,3.622504104,0
18,3.174355959,2.570605897,0
19,2.757853826,2.395465813,0
20,2.162215099,2.622201939,0
21,3.62291432,3.84720512,0
22,4.743269797,1.495295431,0
23,4.100889453,2.362650421,0
24,2.241287944,3.650519052,0
25,2.112940237,3.185984892,0
26,3.2948448,2.045471068,0
27,1.274716697,2.341752415,0
28,1.713897134,2.072583098,0
29,1.987211754,2.347339759,0
30,3.845845611,-0.43190957,0
31,2.171013735,1.656860408,0
32,2.325274525,3.268039861,0
33,3.808182839,4.737949878,0
34,2.901335624,1.493846993,0
35,1.161501513,2.3434791,0
36,3.050835018,2.03818028,0
37,2.537114367,1.925506353,0
38,2.747647963,1.645183486,0
39,2.277303568,0.499945321,0
40,1.614477697,2.498464092,0
41,2.262121033,1.87161055,0
42,1.837671489,2.605988669,0
43,2.379528917,2.953198369,0
44,1.229890722,3.309322496,0
45,2.306746423,4.221853469,0
46,2.116417577,2.34091713,0
47,2.758716399,1.40506123,0
48,4.021263888,2.991230215,0
49,3.381257834,3.767230151,0
50,3.667153092,2.355240888,0
51,3.501386005,3.020863015,0
52,3.250330212,1.910380553,0
53,3.504322823,4.306841962,0
54,1.393324952,3.132928814,0
55,3.406038263,2.091607631,0
56,1.027861614,0.801178192,0
57,3.536996661,1.775374561,0
58,1.958157227,1.244895246,0
59,2.021374783,1.704719622,0
60,2.391966804,3.23327697,0
61,1.497595527,3.524351018,0
62,2.314346643,2.375704846,0
63,3.666482509,3.027442024,0
64,2.507566217,2.711311295,0
65,2.973792672,4.931104072,0
66,2.293612388,2.733284808,0
67,3.212099208,2.961882108,0
68,1.898029336,4.095812024,0
69,2.813550223,2.287479304,0
70,5.461105846,2.266051187,0
71,3.759862943,3.048602014,0
72,1.604525184,1.981439404,0
73,3.926160206,2.991586673,0
74,1.517758062,3.196827645,0
75,2.487669803,3.03234475,0
76,3.074014191,1.032448272,0
77,3.411675453,0.633294772,0
78,1.834149673,2.085893471,0
79,3.277557706,3.906614237,0
80,4.15518146,3.038060075,0
81,0.618081048,1.962580603,0
82,1.118019791,1.883162341,0
83,3.47522187,3.148998633,0
84,1.917399176,2.802014662,0
85,2.610191924,3.435542413,0
86,3.13685903,0.159445264,0
87,4.778242826,2.757205853,0
88,1.670723569,2.285369745,0
89,1.529407077,1.412266712,0
90,2.510600325,2.523402447,0
91,2.38729403,1.93611738,0
92,3.010356756,3.622767243,0
93,2.544440764,2.024409228,0
94,3.874468126,4.019990807,0
95,1.722255579,2.042780127,0
96,2.794968219,2.985289319,0
97,3.88354641,5.087903194,0
98,2.709311293,2.770393518,0
99,1.389930269,3.757558884,0
100,2.48688572,1.774418473,0
101,1.737762712,3.888746425,0
102,1.413985022,0.930313415,0
103,3.531138439,2.18382296,0
104,2.179928983,2.135860947,0
